ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_0_0_plot_001_x,ax_0_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_1_0_plot_003_x,ax_1_0_plot_003_y,ax_2_0_plot_004_x,ax_2_0_plot_004_y,ax_2_0_plot_005_x,ax_2_0_plot_005_y
0.259765625,-0.48601747,0.259765625,0.6302110980494382,0.259765625,0.63044494,0.259765625,0.63044494,0.259765625,-2.4510677,0.259765625,-2.451068
0.26171875,-0.3902996,0.26171875,0.6349407237877013,0.26171875,0.63522404,0.26171875,0.63522416,0.26171875,-2.2324574,0.26171875,-2.2324576
0.263671875,-0.2739501,0.263671875,0.639666801197806,0.263671875,0.63999116,0.263671875,0.63999134,0.263671875,-2.0131335,0.263671875,-2.0131335
0.265625,-0.14215067,0.265625,0.6443887248251953,0.265625,0.64473104,0.265625,0.64473116,0.265625,-1.7931035,0.265625,-1.7931033
0.267578125,-0.0010112736,0.267578125,0.649105885490762,0.267578125,0.6494567,0.267578125,0.64945656,0.267578125,-1.5723536,0.267578125,-1.5723534
0.26953125,0.14270176,0.26953125,0.6538176704126216,0.26953125,0.6541525,0.26953125,0.6541526,0.26953125,-1.3508804,0.26953125,-1.3508803
0.271484375,0.28188318,0.271484375,0.6585234633298845,0.271484375,0.6588333,0.271484375,0.6588334,0.271484375,-1.1286814,0.271484375,-1.1286812
0.2734375,0.40943763,0.2734375,0.6632226446283954,0.2734375,0.66348666,0.2734375,0.6634866,0.2734375,-0.9057443,0.2734375,-0.9057443
0.275390625,0.5186431,0.275390625,0.667914591468409,0.275390625,0.66812587,0.275390625,0.668126,0.275390625,-0.6820763,0.275390625,-0.6820762
0.27734375,0.60351086,0.27734375,0.6725986779141678,0.27734375,0.6727435,0.27734375,0.6727435,0.27734375,-0.45765957,0.27734375,-0.45765954
0.279296875,0.65912306,0.279296875,0.6772742750653497,0.279296875,0.6773497,0.279296875,0.6773498,0.279296875,-0.23250952,0.279296875,-0.23250957
0.28125,0.6819279,0.28125,0.6819407511903481,0.28125,0.6819429,0.28125,0.6819429,0.28125,-0.0066061476,0.28125,-0.006606104
0.283203125,0.6699759,0.283203125,0.6865974718613511,0.283203125,0.6865275,0.283203125,0.6865274,0.283203125,0.22003023,0.283203125,0.22003023
0.28515625,0.6230805,0.28515625,0.6912438000911793,0.28515625,0.69110805,0.28515625,0.69110817,0.28515625,0.44741744,0.28515625,0.44741744
0.287109375,0.54289204,0.287109375,0.6958790964718473,0.287109375,0.69568294,0.287109375,0.695683,0.287109375,0.6755347,0.287109375,0.67553484
0.2890625,0.43287486,0.2890625,0.7005027193148085,0.2890625,0.7002614,0.2890625,0.7002616,0.2890625,0.90439427,0.2890625,0.9043944
0.291015625,0.29818636,0.291015625,0.7051140247928407,0.291015625,0.704836,0.291015625,0.7048361,0.291015625,1.133979,0.291015625,1.133979
0.29296875,0.1454581,0.29296875,0.7097123670835371,0.29296875,0.70941836,0.29296875,0.7094185,0.29296875,1.3642933,0.29296875,1.3642935
0.294921875,-0.017512612,0.294921875,0.7142970985143537,0.294921875,0.71399695,0.294921875,0.713997,0.294921875,1.5953263,0.294921875,1.5953264
0.296875,-0.18214813,0.296875,0.7188675697091758,0.296875,0.7185831,0.296875,0.71858305,0.296875,1.8270746,0.296875,1.8270748
0.298828125,-0.33953506,0.298828125,0.723423129736356,0.298828125,0.7231636,0.298828125,0.7231638,0.298828125,2.059536,0.298828125,2.0595357
0.30078125,-0.48090577,0.30078125,0.7279631262581812,0.30078125,0.72774714,0.30078125,0.7277471,0.30078125,2.2926996,0.30078125,2.2926998
0.302734375,-0.5981313,0.302734375,0.7324869056817207,0.302734375,0.7323209,0.302734375,0.73232096,0.302734375,2.5265715,0.302734375,2.5265713
0.3046875,-0.68419826,0.3046875,0.7369938133110109,0.3046875,0.7368891,0.3046875,0.73688924,0.3046875,2.761137,0.3046875,2.761137
0.306640625,-0.73364186,0.306640625,0.7414831935005273,0.306640625,0.7414424,0.306640625,0.74144226,0.306640625,2.9964082,0.306640625,2.9964082
0.30859375,-0.7429078,0.30859375,0.7459543898098964,0.30859375,0.7459792,0.30859375,0.7459794,0.30859375,-3.0508153,0.30859375,-3.0508153
0.310546875,-0.7106194,0.310546875,0.7504067451597978,0.310546875,0.7504953,0.310546875,0.7504954,0.310546875,-2.8141472,0.310546875,-2.814147
0.3125,-0.6377289,0.3125,0.7548396019890073,0.3125,0.7549841,0.3125,0.75498414,0.3125,-2.5767853,0.3125,-2.5767853
0.314453125,-0.5275411,0.314453125,0.7592523024125294,0.314453125,0.7594465,0.314453125,0.75944644,0.314453125,-2.3387141,0.314453125,-2.3387141
0.31640625,-0.385599,0.31640625,0.763644188380767,0.31640625,0.7638725,0.31640625,0.7638725,0.31640625,-2.0999408,0.31640625,-2.0999405
0.318359375,-0.21943487,0.318359375,0.7680146018396783,0.318359375,0.768268,0.318359375,0.768268,0.318359375,-1.8604525,0.318359375,-1.8604524
0.3203125,-0.03819389,0.3203125,0.7723628848918654,0.3203125,0.7726218,0.3203125,0.7726217,0.3203125,-1.6202506,0.3203125,-1.6202505
0.322265625,0.14785272,0.322265625,0.7766883799585422,0.322265625,0.7769426,0.322265625,0.7769427,0.322265625,-1.3793279,0.322265625,-1.3793278
0.32421875,0.32788017,0.32421875,0.780990429942326,0.32421875,0.78122085,0.32421875,0.78122085,0.32421875,-1.1376791,0.32421875,-1.1376791
0.326171875,0.4911378,0.326171875,0.7852683783908001,0.326171875,0.78546643,0.326171875,0.7854664,0.326171875,-0.8953039,0.326171875,-0.8953039
0.328125,0.6275963,0.328125,0.7895215696607879,0.328125,0.7896725,0.328125,0.78967243,0.328125,-0.6521921,0.328125,-0.65219223
